@id,@name,@type,FIPScounty,bathrooms,bedrooms,city,finishedSqFt,lastSoldDate,lastSoldPrice,latitude,links,longitude,lotSizeSqFt,state,street,taxAssessment,taxAssessmentYear,totalRooms,useCode,yearBuilt,zestimate,zindexValue,zipcode,zpid
54047,Raleigh,city,37183,3,3,Raleigh,4450,,,35.963331,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.647557,80150,NC,12325 Wingspread Way,1054253,2018,11,SingleFamily,1996,,"221,100",27614,6504540
343862,Five Points,neighborhood,37183,3,3,Raleigh,1502,12/12/2016,445000,35.806197,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Five-Points/r_343862/', 'forSaleByOwner': 'http://www.zillow.com/five-points-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/five-points-raleigh-nc/'}",-78.626718,5227,NC,719 New Rd,365392,2018,7,SingleFamily,1949,467393,"411,300",27608,6401484
270318,North Raleigh,neighborhood,37183,3,3,Raleigh,1812,10/15/2019,290000,35.901286,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.595795,9147,NC,2309 Dahlgreen Rd,216337,2018,9,SingleFamily,1995,290160,"270,100",27615,6545088
54047,Raleigh,city,37183,3,4,Raleigh,1987,7/28/2011,140000,35.732949,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.566302,6534,NC,5105 Carnelian Dr,157282,2018,11,SingleFamily,2010,219930,"221,100",27610,111632972
343869,Northeast Raleigh,neighborhood,37183,2,3,Raleigh,1246,10/19/2004,123000,35.846771,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northeast-Raleigh/r_343869/', 'forSaleByOwner': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/'}",-78.55405,6534,NC,5504 Marthonna Way,131778,2018,3,SingleFamily,1998,184901,"171,900",27616,50103204
343863,Wade,neighborhood,37183,7,6,Raleigh,7694,3/6/2018,2800000,35.811894,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Wade/r_343863/', 'forSaleByOwner': 'http://www.zillow.com/wade-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/wade-raleigh-nc/'}",-78.663609,43995,NC,2714 Cambridge Rd,2420444,2018,14,SingleFamily,2015,2859033,"454,400",27608,124272954
343868,Northwest Raleigh,neighborhood,37183,3,5,Raleigh,2596,11/19/2007,270000,35.913808,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.738973,11325,NC,9448 Cartersville Ct,267565,2018,11,SingleFamily,1993,389900,"276,500",27617,6501709
343870,Falls of Neuse,neighborhood,37183,3,,Raleigh,1780,7/27/2006,153100,35.847818,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Falls-of-Neuse/r_343870/', 'forSaleByOwner': 'http://www.zillow.com/falls-of-neuse-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/falls-of-neuse-raleigh-nc/'}",-78.60811,871,NC,4933 Wyatt Brook Way,160255,2018,,SingleFamily,2003,,"295,500",27609,65337116
343864,West Raleigh,neighborhood,37183,2,2,Raleigh,1233,11/2/2009,104000,35.780344,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/West-Raleigh/r_343864/', 'forSaleByOwner': 'http://www.zillow.com/west-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/west-raleigh-raleigh-nc/'}",-78.735612,1306,NC,508 Caprice Ct,111946,2018,4,SingleFamily,1986,,"173,400",27606,6494756
343868,Northwest Raleigh,neighborhood,37183,5,5,Raleigh,4456,3/23/2017,635000,35.910448,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northwest-Raleigh/r_343868/', 'forSaleByOwner': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northwest-raleigh-raleigh-nc/'}",-78.717632,23958,NC,12804 Baybriar Dr,536430,2018,12,SingleFamily,2010,720431,"276,500",27613,102332849
