,@id,@name,@type,FIPScounty,bathrooms,bedrooms,city,finishedSqFt,lastSoldDate,lastSoldPrice,latitude,links,longitude,lotSizeSqFt,state,street,taxAssessment,taxAssessmentYear,totalRooms,useCode,yearBuilt,zestimate,zindexValue,zipcode,zpid,cluster
1467,51297,Cary,city,,4.0,3.0,Cary,1535.0,,,35.794865,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.770513,,NC,707 Rosefield Dr,,,,SingleFamily,2019.0,317727.0,"336,400",27513,2082370240,2
1468,51297,Cary,city,,4.0,3.0,Cary,1535.0,,,35.795116,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.76960600000001,,NC,705 Rosefield Dr,,,,SingleFamily,2019.0,316877.0,"336,400",27513,2082370239,2
1469,51297,Cary,city,,4.0,3.0,Cary,1535.0,,,35.794689,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.76990699999999,,NC,305 Page Square Dr,,,,SingleFamily,,318294.0,"336,400",27513,2082370238,2
1470,51297,Cary,city,,4.0,3.0,Cary,1535.0,,,35.794897999999996,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.769853,,NC,307 Page Square Dr,,,,SingleFamily,,318502.0,"336,400",27513,2082370237,2
1471,816428,Russell Hills,neighborhood,37183.0,2.0,3.0,Cary,1832.0,10/15/2019,315000.0,35.78032,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Russell-Hills/r_816428/', 'forSaleByOwner': 'http://www.zillow.com/russell-hills-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/russell-hills-cary-nc/'}",-78.786376,12632.0,NC,513 S Harrison Ave,203540.0,2018.0,6.0,SingleFamily,1959.0,315174.0,,27511,6387001,63
1472,816400,Lochmere,neighborhood,37183.0,3.0,4.0,Cary,3779.0,10/15/2019,900000.0,35.732109,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Lochmere/r_816400/', 'forSaleByOwner': 'http://www.zillow.com/lochmere-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/lochmere-cary-nc/'}",-78.76382,28313.0,NC,104 Windy Point Ln,742664.0,2018.0,9.0,SingleFamily,1990.0,900498.0,,27518,6498445,28
1473,816417,Cary Park,neighborhood,37183.0,4.0,5.0,Cary,3439.0,10/15/2019,497000.0,35.812459999999994,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Cary-Park/r_816417/', 'forSaleByOwner': 'http://www.zillow.com/cary-park-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-park-cary-nc/'}",-78.91542700000001,12196.0,NC,400 Waverly Hills Dr,474414.0,2018.0,11.0,SingleFamily,2006.0,497275.0,,27519,79884407,49
1474,816439,Scottish Hills,neighborhood,37183.0,3.0,5.0,Cary,2594.0,10/15/2019,333000.0,35.757712,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Scottish-Hills/r_816439/', 'forSaleByOwner': 'http://www.zillow.com/scottish-hills-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/scottish-hills-cary-nc/'}",-78.80257900000001,16117.0,NC,1328 Falkirk Ct,244064.0,2018.0,10.0,SingleFamily,1973.0,333184.0,,27511,6439181,63
1475,51297,Cary,city,37183.0,1.0,2.0,Cary,1152.0,10/15/2019,317000.0,35.792164,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.77856,29185.0,NC,512 Ferrell St,142579.0,2018.0,6.0,SingleFamily,1949.0,317175.0,"336,400",27513,6418540,2
1476,816403,Amberly,neighborhood,37037.0,2.0,2.0,Cary,1908.0,10/15/2019,402000.0,35.841282,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Amberly/r_816403/', 'forSaleByOwner': 'http://www.zillow.com/amberly-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/amberly-cary-nc/'}",-78.916812,5706.0,NC,744 Blackfriars Loop,376969.0,2017.0,8.0,SingleFamily,2013.0,402249.0,,27519,124538104,5
1477,51297,Cary,city,37183.0,3.0,4.0,Cary,2854.0,10/15/2019,377000.0,35.753475,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.784482,19602.0,NC,124 Amesbury Ln,306820.0,2018.0,10.0,SingleFamily,1978.0,377208.0,"336,400",27511,6440912,63
1478,51297,Cary,city,37183.0,4.0,4.0,Cary,4000.0,12/23/2003,361500.0,35.760455,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.833976,10890.0,NC,122 Bethabara Ln,429019.0,2018.0,10.0,SingleFamily,2003.0,479894.0,"336,400",27513,65343626,9
1479,816408,Beechtree,neighborhood,37183.0,2.0,3.0,Cary,1334.0,8/22/2019,247000.0,35.821583000000004,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Beechtree/r_816408/', 'forSaleByOwner': 'http://www.zillow.com/beechtree-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/beechtree-cary-nc/'}",-78.78045,10018.0,NC,107 Skipwyth Cir,206190.0,2018.0,5.0,SingleFamily,1995.0,248386.0,,27513,6541678,2
1480,51297,Cary,city,37183.0,3.0,4.0,Cary,2292.0,8/4/2016,328500.0,35.829508000000004,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.842359,6534.0,NC,616 Piper Stream Cir,315058.0,2018.0,4.0,SingleFamily,2010.0,363900.0,"336,400",27519,102343984,17
1481,51297,Cary,city,37183.0,3.0,4.0,Cary,2011.0,5/19/2005,165000.0,35.769103,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/r_51297/', 'forSaleByOwner': 'http://www.zillow.com/cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/cary-nc/'}",-78.768693,17424.0,NC,601 Ashe Ave,221084.0,2018.0,8.0,SingleFamily,1968.0,325001.0,"336,400",27511,6433352,28
1482,816403,Amberly,neighborhood,,4.0,5.0,Cary,2745.0,,,35.837451,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Amberly/r_816403/', 'forSaleByOwner': 'http://www.zillow.com/amberly-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/amberly-cary-nc/'}",-78.921418,9583.0,NC,1508 Betasso Dr,,,,SingleFamily,2019.0,555332.0,,27519,2082387647,5
1483,816436,Preston,neighborhood,37183.0,3.0,4.0,Cary,2668.0,8/20/2019,390000.0,35.804155,"{'overview': 'http://www.zillow.com/local-info/NC-Cary/Preston/r_816436/', 'forSaleByOwner': 'http://www.zillow.com/preston-cary-nc/fsbo/', 'forSale': 'http://www.zillow.com/preston-cary-nc/'}",-78.840277,13939.0,NC,100 Sir James Ct,417660.0,2018.0,8.0,SingleFamily,1991.0,524861.0,,27513,6516596,17
